season,school_id,latitude,longitude
2014,1448,48.7519112,-122.4786854
2015,1448,48.7519112,-122.4786854
2016,1448,48.7519112,-122.4786854
2017,1448,48.7519112,-122.4786854
2009,1448,48.7519112,-122.4786854
2010,452,40.9153362,-81.1059309
2011,452,40.9153362,-81.1059309
2012,452,40.9153362,-81.1059309
2013,452,40.9153362,-81.1059309
2014,452,40.9153362,-81.1059309
2015,452,40.9153362,-81.1059309
2016,452,40.9153362,-81.1059309
2017,452,40.9153362,-81.1059309
2009,452,40.9153362,-81.1059309
2010,2694,39.4806055,-86.0549863
2011,2694,39.4806055,-86.0549863
2012,2694,39.4806055,-86.0549863
2013,2694,39.4806055,-86.0549863
2014,2694,39.4806055,-86.0549863
2015,2694,39.4806055,-86.0549863
2016,2694,39.4806055,-86.0549863
2017,2694,39.4806055,-86.0549863
2009,2694,39.4806055,-86.0549863
2010,94,35.3732921,-119.0187125
2011,94,35.3732921,-119.0187125
2012,94,35.3732921,-119.0187125
2013,94,35.3732921,-119.0187125
2014,94,35.3732921,-119.0187125
2015,94,35.3732921,-119.0187125
2016,94,35.3732921,-119.0187125
2017,94,35.3732921,-119.0187125
2009,94,35.3732921,-119.0187125
2010,368,42.6334247,-71.3161718
2011,368,42.6334247,-71.3161718
2012,368,42.6334247,-71.3161718
2013,368,42.6334247,-71.3161718
2014,368,42.6334247,-71.3161718
2015,368,42.6334247,-71.3161718
2016,368,42.6334247,-71.3161718
2017,368,42.6334247,-71.3161718
2009,368,42.6334247,-71.3161718
2010,1267,46.5924428,-90.8837982
2011,1267,46.5924428,-90.8837982
2012,1267,46.5924428,-90.8837982
2013,1267,46.5924428,-90.8837982
2014,1267,46.5924428,-90.8837982
2015,1267,46.5924428,-90.8837982
2016,1267,46.5924428,-90.8837982
2017,1267,46.5924428,-90.8837982
2009,1267,46.5924428,-90.8837982
2010,235,29.6516344,-82.3248262
2011,235,29.6516344,-82.3248262
2012,235,29.6516344,-82.3248262
2013,235,29.6516344,-82.3248262
2014,235,29.6516344,-82.3248262
2015,235,29.6516344,-82.3248262
2016,235,29.6516344,-82.3248262
2017,235,29.6516344,-82.3248262
2009,235,29.6516344,-82.3248262
2010,746,38.0293059,-78.4766781
2011,746,38.0293059,-78.4766781
2012,746,38.0293059,-78.4766781
2013,746,38.0293059,-78.4766781
2014,746,38.0293059,-78.4766781
2015,746,38.0293059,-78.4766781
2016,746,38.0293059,-78.4766781
2017,746,38.0293059,-78.4766781
2009,746,38.0293059,-78.4766781
2016,30178,36.8050308,-98.6664737
2017,30178,36.8050308,-98.6664737
2010,257,33.9519347,-83.357567
2011,257,33.9519347,-83.357567
2012,257,33.9519347,-83.357567
2013,257,33.9519347,-83.357567
2014,257,33.9519347,-83.357567
2015,257,33.9519347,-83.357567
2016,257,33.9519347,-83.357567
2017,257,33.9519347,-83.357567
2009,257,33.9519347,-83.357567
2010,155,39.755543,-105.2210997
2011,155,39.755543,-105.2210997
2012,155,39.755543,-105.2210997
2013,155,39.755543,-105.2210997
2014,155,39.755543,-105.2210997
2015,155,39.755543,-105.2210997
2016,155,39.755543,-105.2210997
2017,155,39.755543,-105.2210997
2009,155,39.755543,-105.2210997
2010,2743,29.4241219,-98.4936282
2011,2743,29.4241219,-98.4936282
2012,2743,29.4241219,-98.4936282
2013,2743,29.4241219,-98.4936282
2014,2743,29.4241219,-98.4936282
2015,2743,29.4241219,-98.4936282
2016,2743,29.4241219,-98.4936282
2017,2743,29.4241219,-98.4936282
2010,706,29.4241219,-98.4936282
2011,706,29.4241219,-98.4936282
2012,706,29.4241219,-98.4936282
2013,706,29.4241219,-98.4936282
2014,706,29.4241219,-98.4936282
2015,706,29.4241219,-98.4936282
2016,706,29.4241219,-98.4936282
2017,706,29.4241219,-98.4936282
2010,715,29.4241219,-98.4936282
2011,715,29.4241219,-98.4936282
2012,715,29.4241219,-98.4936282
2013,715,29.4241219,-98.4936282
2014,715,29.4241219,-98.4936282
2015,715,29.4241219,-98.4936282
2016,715,29.4241219,-98.4936282
2017,715,29.4241219,-98.4936282
2010,1346,29.4241219,-98.4936282
2011,1346,29.4241219,-98.4936282
2012,1346,29.4241219,-98.4936282
2013,1346,29.4241219,-98.4936282
2014,1346,29.4241219,-98.4936282
2015,1346,29.4241219,-98.4936282
2016,1346,29.4241219,-98.4936282
2017,1346,29.4241219,-98.4936282
2009,2743,29.4241219,-98.4936282
2009,706,29.4241219,-98.4936282
2009,715,29.4241219,-98.4936282
2009,1346,29.4241219,-98.4936282
2010,598,45.5579451,-94.1632404
2011,598,45.5579451,-94.1632404
2012,598,45.5579451,-94.1632404
2013,598,45.5579451,-94.1632404
2014,598,45.5579451,-94.1632404
2015,598,45.5579451,-94.1632404
2016,598,45.5579451,-94.1632404
2017,598,45.5579451,-94.1632404
2009,598,45.5579451,-94.1632404
2010,36,42.2625932,-71.8022934
2011,36,42.2625932,-71.8022934
2012,36,42.2625932,-71.8022934
2013,36,42.2625932,-71.8022934
2014,36,42.2625932,-71.8022934
2015,36,42.2625932,-71.8022934
2016,36,42.2625932,-71.8022934
2017,36,42.2625932,-71.8022934
2010,145,42.2625932,-71.8022934
2011,145,42.2625932,-71.8022934
2012,145,42.2625932,-71.8022934
2013,145,42.2625932,-71.8022934
2014,145,42.2625932,-71.8022934
2015,145,42.2625932,-71.8022934
2016,145,42.2625932,-71.8022934
2017,145,42.2625932,-71.8022934
2010,285,42.2625932,-71.8022934
2011,285,42.2625932,-71.8022934
2012,285,42.2625932,-71.8022934
2013,285,42.2625932,-71.8022934
2014,285,42.2625932,-71.8022934
2015,285,42.2625932,-71.8022934
2016,285,42.2625932,-71.8022934
2017,285,42.2625932,-71.8022934
2010,808,42.2625932,-71.8022934
2011,808,42.2625932,-71.8022934
2012,808,42.2625932,-71.8022934
2013,808,42.2625932,-71.8022934
2014,808,42.2625932,-71.8022934
2015,808,42.2625932,-71.8022934
2016,808,42.2625932,-71.8022934
2017,808,42.2625932,-71.8022934
2010,809,42.2625932,-71.8022934
2011,809,42.2625932,-71.8022934
2012,809,42.2625932,-71.8022934
2013,809,42.2625932,-71.8022934
2014,809,42.2625932,-71.8022934
2015,809,42.2625932,-71.8022934
2016,809,42.2625932,-71.8022934
2017,809,42.2625932,-71.8022934
2010,26107,42.2625932,-71.8022934
2011,26107,42.2625932,-71.8022934
2012,26107,42.2625932,-71.8022934
2013,26107,42.2625932,-71.8022934
2014,26107,42.2625932,-71.8022934
2015,26107,42.2625932,-71.8022934
2016,26107,42.2625932,-71.8022934
2017,26107,42.2625932,-71.8022934
2009,36,42.2625932,-71.8022934
2009,145,42.2625932,-71.8022934
2009,285,42.2625932,-71.8022934
2009,808,42.2625932,-71.8022934
2009,809,42.2625932,-71.8022934
2009,26107,42.2625932,-71.8022934
2010,161,46.8737648,-96.7678039
2011,161,46.8737648,-96.7678039
2012,161,46.8737648,-96.7678039
2013,161,46.8737648,-96.7678039
