game_date,school_id,opp_id,tourn
1988-03-19,370.0,457.0,1
1988-03-19,37.0,522.0,1
1988-03-19,404.0,559.0,1
1988-03-19,572.0,688.0,1
1988-03-20,29.0,635.0,1
1988-03-20,312.0,465.0,1
1988-03-20,328.0,454.0,1
1988-03-20,334.0,392.0,1
1988-03-20,255.0,575.0,1
1988-03-20,251.0,690.0,1
1988-03-20,545.0,736.0,1
1988-03-20,301.0,739.0,1
1988-03-24,193.0,572.0,1
1988-03-24,367.0,522.0,1
1988-03-24,575.0,690.0,1
1988-03-24,334.0,739.0,1
1988-03-25,29.0,312.0,1
1988-03-25,328.0,736.0,1
1988-03-25,327.0,559.0,1
1988-03-25,418.0,457.0,1
1988-03-26,193.0,690.0,1
1988-03-26,522.0,739.0,1
1988-03-27,29.0,457.0,1
1988-03-27,327.0,328.0,1
1988-04-02,193.0,328.0,1
1988-04-02,29.0,522.0,1
1988-04-04,328.0,522.0,1
1989-03-16,29.0,579.0,1
1989-03-16,31.0,370.0,1
1989-03-16,47.0,545.0,1
1989-03-16,147.0,610.0,1
1989-03-16,176.0,404.0,1
1989-03-16,193.0,647.0,1
1989-03-16,301.0,402.0,1
1989-03-16,340.0,366.0,1
1989-03-16,32.0,367.0,1
1989-03-16,327.0,428.0,1
1989-03-16,234.0,419.0,1
1989-03-16,198.0,522.0,1
1989-03-16,639.0,674.0,1
1989-03-16,295.0,465.0,1
1989-03-16,556.0,746.0,1
1989-03-16,694.0,768.0,1
1989-03-17,156.0,235.0,1
1989-03-17,219.0,528.0,1
1989-03-17,251.0,554.0,1
1989-03-17,248.0,306.0,1
1989-03-17,312.0,587.0,1
1989-03-17,418.0,812.0,1
1989-03-17,169.0,434.0,1
1989-03-17,490.0,648.0,1
1989-03-17,457.0,665.0,1
1989-03-17,513.0,736.0,1
1989-03-17,635.0,669.0,1
1989-03-17,8.0,646.0,1
1989-03-17,83.0,688.0,1
1989-03-17,255.0,703.0,1
1989-03-17,110.0,311.0,1
1989-03-17,365.0,704.0,1
1989-03-18,29.0,147.0,1
1989-03-18,193.0,768.0,1
1989-03-18,47.0,301.0,1
1989-03-18,31.0,367.0,1
1989-03-18,428.0,639.0,1
1989-03-18,366.0,522.0,1
1989-03-18,176.0,465.0,1
1989-03-18,419.0,746.0,1
1989-03-19,251.0,513.0,1
1989-03-19,306.0,704.0,1
1989-03-19,418.0,646.0,1
1989-03-19,434.0,703.0,1
1989-03-19,312.0,490.0,1
1989-03-19,110.0,457.0,1
1989-03-19,219.0,635.0,1
1989-03-19,156.0,688.0,1
1989-03-23,418.0,457.0,1
1989-03-23,306.0,635.0,1
1989-03-23,29.0,465.0,1
1989-03-23,522.0,746.0,1
