school_id,season_href,school_name,season,division
523,/team/523/10080,Old Dominion,2009,1
433,/team/433/10080,Ole Miss,2009,1
527,/team/527/10080,Oral Roberts,2009,1
529,/team/529/10080,Oregon,2009,1
528,/team/528/10080,Oregon St.,2009,1
534,/team/534/10080,Pacific,2009,1
540,/team/540/10080,Penn,2009,1
539,/team/539/10080,Penn St.,2009,1
541,/team/541/10080,Pepperdine,2009,1
545,/team/545/10080,Pittsburgh,2009,1
551,/team/551/10080,Portland,2009,1
550,/team/550/10080,Portland St.,2009,1
553,/team/553/10080,Prairie View,2009,1
1320,/team/1320/10080,Presbyterian,2009,1
554,/team/554/10080,Princeton,2009,1
556,/team/556/10080,Providence,2009,1
559,/team/559/10080,Purdue,2009,1
562,/team/562/10080,Quinnipiac,2009,1
563,/team/563/10080,Radford,2009,1
572,/team/572/10080,Rhode Island,2009,1
574,/team/574/10080,Rice,2009,1
575,/team/575/10080,Richmond,2009,1
576,/team/576/10080,Rider,2009,1
579,/team/579/10080,Robert Morris,2009,1
587,/team/587/10080,Rutgers,2009,1
676,/team/676/10080,SFA,2009,1
660,/team/660/10080,SIUE,2009,1
663,/team/663/10080,SMU,2009,1
102,/team/102/10080,Sacramento St.,2009,1
590,/team/590/10080,Sacred Heart,2009,1
600,/team/600/10080,Saint Francis (PA),2009,1
606,/team/606/10080,Saint Joseph's,2009,1
609,/team/609/10080,Saint Louis,2009,1
610,/team/610/10080,Saint Mary's (CA),2009,1
617,/team/617/10080,Saint Peter's,2009,1
624,/team/624/10080,Sam Houston St.,2009,1
625,/team/625/10080,Samford,2009,1
627,/team/627/10080,San Diego,2009,1
626,/team/626/10080,San Diego St.,2009,1
629,/team/629/10080,San Francisco,2009,1
630,/team/630/10080,San Jose St.,2009,1
631,/team/631/10080,Santa Clara,2009,1
632,/team/632/10080,Savannah St.,2009,1
635,/team/635/10080,Seton Hall,2009,1
639,/team/639/10080,Siena,2009,1
646,/team/646/10080,South Ala.,2009,1
648,/team/648/10080,South Carolina,2009,1
647,/team/647/10080,South Carolina St.,2009,1
649,/team/649/10080,South Dakota St.,2009,1
651,/team/651/10080,South Fla.,2009,1
654,/team/654/10080,Southeast Mo. St.,2009,1
655,/team/655/10080,Southeastern La.,2009,1
657,/team/657/10080,Southern California,2009,1
659,/team/659/10080,Southern Ill.,2009,1
664,/team/664/10080,Southern Miss.,2009,1
665,/team/665/10080,Southern U.,2009,1
667,/team/667/10080,Southern Utah,2009,1
596,/team/596/10080,St. Bonaventure,2009,1
599,/team/599/10080,St. Francis Brooklyn,2009,1
603,/team/603/10080,St. John's (NY),2009,1
674,/team/674/10080,Stanford,2009,1
678,/team/678/10080,Stetson,2009,1
683,/team/683/10080,Stony Brook,2009,1
688,/team/688/10080,Syracuse,2009,1
698,/team/698/10080,TCU,2009,1
690,/team/690/10080,Temple,2009,1
694,/team/694/10080,Tennessee,2009,1
691,/team/691/10080,Tennessee St.,2009,1
692,/team/692/10080,Tennessee Tech,2009,1
703,/team/703/10080,Texas,2009,1
697,/team/697/10080,Texas A&M,2009,1
699,/team/699/10080,Texas Southern,2009,1
670,/team/670/10080,Texas St.,2009,1
700,/team/700/10080,Texas Tech,2009,1
141,/team/141/10080,The Citadel,2009,1
709,/team/709/10080,Toledo,2009,1
711,/team/711/10080,Towson,2009,1
716,/team/716/10080,Troy,2009,1
718,/team/718/10080,Tulane,2009,1
719,/team/719/10080,Tulsa,2009,1
9,/team/9/10080,UAB,2009,1
108,/team/108/10080,UC Davis,2009,1
109,/team/109/10080,UC Irvine,2009,1
111,/team/111/10080,UC Riverside,2009,1
104,/team/104/10080,UC Santa Barbara,2009,1
128,/team/128/10080,UCF,2009,1
110,/team/110/10080,UCLA,2009,1
164,/team/164/10080,UConn,2009,1
391,/team/391/10080,UMBC,2009,1
393,/team/393/10080,UMES,2009,1
2707,/team/2707/10080,UMKC,2009,1
456,/team/456/10080,UNC Asheville,2009,1
459,/team/459/10080,UNCG,2009,1
460,/team/460/10080,UNCW,2009,1
504,/team/504/10080,UNI,2009,1
465,/team/465/10080,UNLV,2009,1
10411,/team/10411/10080,USC Upstate,2009,1
702,/team/702/10080,UT Arlington,2009,1
695,/team/695/10080,UT Martin,2009,1
704,/team/704/10080,UTEP,2009,1
536,/team/536/10080,UTRGV,2009,1
706,/team/706/10080,UTSA,2009,1
732,/team/732/10080,Utah,2009,1
731,/team/731/10080,Utah St.,2009,1
740,/team/740/10080,VCU,2009,1
741,/team/741/10080,VMI,2009,1
735,/team/735/10080,Valparaiso,2009,1
736,/team/736/10080,Vanderbilt,2009,1
