arena,latitude,longitude
Johnson Coliseum,30.7129318,-95.5462159
McCann Arena,41.7173277,-73.9351196
Freeman Center,37.0648199,-76.492459
Van Noord Arena,42.9333682,-85.5886593
Penn Gym,41.2989247,-92.6408734
Bobcat Arena,39.6504683,-78.9345538
Bob Carpenter Center,39.660489,-75.748991
Simon Skjodt Assembly Hall,39.180866,-86.5221541
Joseph J. Gentile Arena,42.0006462,-87.6591153
Cross Insurance Center,44.788662,-68.7794619
Wintrust Arena,41.853739,-87.6213473
RIMAC Arena,32.8852757,-117.2391823
Icardo Center,35.3475694,-119.1026945
PNC Arena,35.8033394,-78.7217946
Rupp Arena,38.0494074,-84.5024744
ASRC,40.1658141,-80.6011631
Koehler Fieldhouse,40.9969414,-75.170303
Brownwood Coliseum,31.7202474,-98.9782492
Pete P. Gallego Center,30.3634284,-103.6467306
Gus Young Court,44.3221619,-93.9687771
Agganis Arena,42.3521901,-71.1177297
KSU Convocation Center,34.0368592,-84.5803692
G.B. Hodge Center,34.9957778,-81.9688331
Mark Twain Building,38.7166146,-90.3085412
SHM Memorial Center,33.5010199,-80.846515
LeFrak Gymnasium,42.3680134,-72.5183568
Davey L. Whitney Complex,31.873366,-91.1333164
Ericksen Center,45.0340776,-93.1706834
Harold Alfond Center,43.8267427,-70.4828684
Chambers Hall,40.2763224,-79.5327694
Stabler Arena,40.585281,-75.357403
Draddy Gymnasium,40.89078,-73.9002497
Stode Activity Center,45.4843805,-98.4888027
Hinkle Fieldhouse,39.8435575,-86.1673075
Muskingum Recreation Center,39.9980641,-81.7379342
Kellogg Gym,34.0541234,-117.819145
Si Melby Hall,44.9663002,-93.2401366
Ted Constant Convocation Ctr.,36.8841435,-76.3013211
Williams Arena at Minges,35.5974695,-77.3673322
Griffin Complex,40.1978454,-75.2347066
Hughey Gym,33.646247,-96.5987331
Hilliard Gates Sports Center,41.1194073,-85.107348
KeyArena at Seattle Center,47.6221,-122.353988
Jim and John Vlogianitis Gym,43.210018,-77.9507327
Thompson-Boling Arena,35.9511794,-83.9250359
Matthaei Building,42.3550004,-83.0761689
Skoglund Athletic Center,44.4635909,-93.1878842
Swisher Gymnasium,30.3502343,-81.6049621
Clark Memorial Gymnasium,43.0844212,-77.6738665
Wellness Center,40.6219317,-74.0318487
Abney Athletic Center,34.5135696,-82.6366613
King Center,36.77252,-81.82925
Rubin Arena,26.7047472,-80.0504326
Cotterell Court,42.8153295,-75.5427014
Decker Sports & Recreation Center,39.4094954,-76.5902035
Whalen Gymnasium,37.2774,-107.8686611
Tony DeCarlo Varisty Center,41.4914336,-81.5287857
Ford Center,37.9721356,-87.5678588
Jason Gym,38.5654741,-92.1708906
Murphy Athletic Center,35.8486105,-86.3648813
Resch Center,44.4995277,-88.0549032
Mott Athletics Center,35.2984123,-120.6650005
Cajundome,30.218448,-92.03887
Siebens Fieldhouse,42.6410826,-95.2098122
Meyer Athletic Center,40.9434113,-73.8189733
Burg Center,32.7090629,-96.9454882
Lambros Arena,42.4573534,-75.0728868
Helms Center,36.43336,-77.0958124
Lavietes Pavilion,42.368211,-71.1252674
Anderson Sports-Health Center,41.3465898,-75.974372
Pepin Gymnasium,44.0041812,-73.177856
Storzer Center,43.8417342,-88.8516387
Flood Arena,42.5012357,-89.0168876
Cope Hall,39.9533856,-75.598379
Holt Arena,42.8699998,-112.4285716
Athletic & Recreation Center,42.2736346,-71.4083836
Walkup Skydome,35.1805078,-111.6528102
The Cutler Event Center,42.4361586,-84.9259794
CBU Events Center,33.9268345,-117.4223116
McPherson Academics & Athletics Complex,40.9023693,-81.1115052
Stan Sheriff Center,21.2942882,-157.8189039
Clark-Danielson Center,44.9682335,-93.2613999
Joal & Joseph Job,40.8171237,-74.1014851
Ramsey Center,35.3036886,-83.1822316
Bud Walton Arena,36.0615904,-94.1781382
Sports Sci. Athletic Pavillion,34.0996089,-117.773192
John M. Reeves Student Recreation Center,40.8478308,-74.8343233
Cameron Hall,37.7885432,-79.4365995
JMU Convocation Center,38.4318774,-78.8687645
Snyder Activity Center,39.303791,-81.5323121
Mizzou Arena,38.9324614,-92.333753
Cintas Center,39.1503616,-84.4718415
McCamish Pavilion,33.780684,-84.3927714
Callan Athletic Center,39.7512544,-83.8133913
Osborne Hall,40.8254246,-81.3778819
Thomas & Mack Center,36.1049006,-115.1441925
Rhodes-Reaves Field House,35.2472423,-91.7242795
Barnes Physical Education Center,34.9616506,-85.3765028
Ross E. Templeton Center,34.4650766,-81.8689853
Brownson Arena,39.0808594,-108.5543371
Levick Arena,42.7283537,-92.4836606
NSU Event Center,35.9267504,-94.9676493
UTD Activity Center,32.9899932,-96.7553093
Bullman Multi-Purpose,37.9510066,-91.7780745
John A. Wilson Complex,35.6015065,-105.2242723
Chaifetz Arena,38.632511,-90.227955
Curry Arena,35.227054,-80.839636
Tomsich Arena,40.3718965,-82.3983079
Capel Arena,35.0758337,-78.8957623
Mabee Complex,32.4766833,-99.7365717
Fant-Ewing Coliseum,32.5310638,-92.0694529
Prather Coliseum,31.7440808,-93.0951837
Hood Athletic Center,39.424139,-77.4176448
Ed and Rae Schollmaier Arena,32.7088144,-97.3667142
Thomas M. Ryan Center,41.4877684,-71.5357485
The Pavilion,38.5417908,-121.7596409
Christl Arena,41.3863864,-73.9656782
Beeghly Center,41.1083058,-80.6490217
Woodruff PE Center,33.7933119,-84.3258545
Graham Athletics Center,33.9757837,-118.0257321
Bollman Center,40.3627229,-75.9119545
John Long Center,41.4055412,-75.6569784
Mercyhurst Athletic Center,42.1040962,-80.0556752
Sommer Center,40.8979688,-83.8968738
Neal Baisi Athletic Center,38.1801647,-81.3224048
The Capital Center,39.9559436,-82.9355989
Curb Event Center,36.132314,-86.7945579
Frank L. Forbes Arena,33.7459553,-84.4138651
McKale Center,32.2303021,-110.9460745
Walker Convocation Center,38.3783901,-81.7685902
Hynes Athletics Center,40.9261352,-73.7856427
Manuel Rivero Hall,39.807212,-75.9273377
Crisler Center,42.2650465,-83.7467082
E.H. Nelson Fieldhouse,41.0081119,-76.4472749
Liacouras Center,39.979931,-75.1585102
Fitzpatrick Arena,37.5257511,-120.8524964
IGINI Sports Forum,41.9024125,-87.8220588
Johnson Center,38.3401347,-87.3506095
Center for Recreation and Sport,40.7208171,-73.6496776
Farris Center,35.0819201,-92.4596419
Health & P.E. Complex,40.7560762,-73.923311
Seaver Center,42.2685513,-89.0156926
University of Dayton Arena,39.7356112,-84.199716
Purcell Pavilion at the Joyce Center,41.6972526,-86.2311409
Charles E. Smith Center,38.8978433,-77.049338
Baruch College ARC Arena,40.7401991,-73.9833745
Warren G. Hill Gymnasium,43.6825798,-70.4507849
Athletics Center O'rena,42.6740472,-83.2129533
Earl C. Sams Gymnasium,27.7917948,-97.3931982
Leede Arena,43.7044406,-72.2886935
Wise Center,41.649349,-80.1449494
Henry A. Butova Gym,42.112853,-72.557144
The Sports Center,33.1413865,-117.1960195
Art Smith Arena,43.3801444,-84.6686932
Health & Physical Education Arena,29.7229357,-95.3655607
Wisdom Gymnasium,32.2157364,-98.2206128
Waco Center,38.9456271,-80.8263603
Elaine & William Kaplan Recreation Center,41.5130521,-74.0124836
"Johnson, Henderson Gym",36.1074331,-86.8195629
Eblen Center,36.1783618,-85.5095064
Alfond Sports Center,28.5932265,-81.3464642
Lantz Arena,39.4803349,-88.1788481
Save Mart Center,36.809691,-119.7385011
Kennedy Gymnasium,41.0334846,-73.7165649
ONU Sports Center,40.7682912,-83.832838
Southampton Gym,40.9011144,-72.385455
Dewar Arena,42.4687659,-75.0651806
Thomas Assembly Center,32.5319955,-92.658733
CFSB Center,36.622687,-88.319923
Bramlage Coliseum,39.2003584,-96.5938128
SDC Gymnasium,47.1119686,-88.5464603
Neal Fieldhouse,39.6393943,-86.8628946
Dee Events Center,41.1823818,-111.9450635
Jim Gremmels Court,45.5890317,-95.8969661
West Gym,49.2794389,-122.9223179
George R. Newman,40.832514,-74.2716256
Moore Gymnasium,29.212416,-81.031001
Rip Griffin Center,33.5719153,-101.9317759
Cameron Indoor Stadium,35.9979158,-78.94237
Leicester Gymnasium,42.2411121,-71.8652624
Thompson Gymnasium,40.1507976,-76.5906317
Reif Gymnasium,46.8161783,-92.1060949
English E. Jones Center,34.6894587,-79.2012289
North Park Gymnasium,41.9747121,-87.7106078
Chace Athletic Center,41.9211855,-71.5394146
Echols Memorial Hall,36.8480386,-76.2582396
Tarble Pavillion,39.900997,-75.3535776
Hulman Center,39.4685021,-87.4051217
Reagan Gym,40.7019249,-89.273468
Dawes Gymnasium,39.2882577,-89.8719921
Timmons Arena,34.9179345,-82.437289
Sports Arena,42.9344814,-78.8862079
Redbird Arena,40.5106898,-88.9987999
LCEF Court,45.5701912,-122.6368874
BSU Gymnasium,47.4873162,-94.8762574
Rissell-Beeghly Gymnasium,41.411974,-80.383918
