season_href,opp_id,game_href
/team/111/12480,97,/game/index/4272337
/team/111/12480,104,/game/index/4274046
/team/111/12480,277,/game/index/4275778
/team/111/12480,101,/game/index/4277648
/team/111/12480,277,/game/index/4279844
/team/111/12480,90,/game/index/4281320
/team/111/12480,99,/game/index/4284666
/team/111/12480,108,/game/index/4286691
/team/111/12480,97,/game/index/4290497
/team/111/12480,109,/game/index/4292902
/team/111/12480,104,/game/index/4297291
/team/111/12480,90,/game/index/4300194
/team/111/12480,109,/game/index/4303925
/team/111/12480,109,/game/index/4313380
/team/1466/10260,,
/team/734/10440,,
/team/803/11220,618.0,/game/index/1379905
/team/803/11220,641.0,/game/index/1439052
/team/803/11220,266.0,/game/index/1382893
/team/803/11220,1267.0,/game/index/1393104
/team/803/11220,192.0,/game/index/1396859
/team/803/11220,372.0,/game/index/1411372
/team/803/11220,805.0,/game/index/1416188
/team/803/11220,804.0,/game/index/1476092
/team/803/11220,800.0,/game/index/1435012
/team/803/11220,801.0,/game/index/1439892
/team/803/11220,364.0,/game/index/1459559
/team/803/11220,1036.0,/game/index/1471292
/team/803/11220,793.0,/game/index/1468013
/team/803/11220,802.0,/game/index/1491493
/team/803/11220,798.0,/game/index/1500774
/team/803/11220,795.0,/game/index/1514532
/team/803/11220,805.0,/game/index/1525689
/team/803/11220,801.0,/game/index/1529844
/team/803/11220,,/game/index/1544713
/team/803/11220,804.0,/game/index/1551452
/team/803/11220,800.0,/game/index/1562013
/team/803/11220,795.0,/game/index/1581992
/team/803/11220,793.0,/game/index/1599792
/team/803/11220,802.0,/game/index/1626772
/team/803/11220,798.0,/game/index/1643432
/team/803/11220,804.0,/game/index/1670512
/team/803/11220,805.0,/game/index/1685292
/team/1346/12260,155,/game/index/3961230
/team/1346/12260,568,/game/index/3965983
/team/1346/12260,696,/game/index/3953435
/team/1346/12260,435,/game/index/3959328
/team/1346/12260,9013,/game/index/3959887
/team/1346/12260,1222,/game/index/3961821
/team/1346/12260,206,/game/index/3963694
/team/1346/12260,696,/game/index/3969668
/team/1346/12260,24342,/game/index/3970375
/team/1346/12260,30177,/game/index/3971092
/team/1346/12260,30054,/game/index/3974614
/team/1346/12260,30179,/game/index/3975306
/team/1346/12260,30105,/game/index/3978727
/team/1346/12260,30180,/game/index/3979805
/team/1346/12260,30088,/game/index/3984916
/team/1346/12260,1334,/game/index/3986466
/team/1346/12260,30090,/game/index/3989946
/team/1346/12260,1045,/game/index/3991082
/team/1346/12260,30179,/game/index/3995490
/team/1346/12260,30054,/game/index/3996960
/team/1346/12260,30180,/game/index/4001825
/team/1346/12260,30105,/game/index/4003642
/team/1346/12260,1334,/game/index/4008725
/team/1346/12260,30088,/game/index/4011078
/team/1346/12260,30090,/game/index/4018395
/team/1346/12260,1045,/game/index/4024798
/team/1346/12260,30177,/game/index/4028730
/team/1346/12260,24342,/game/index/4030970
/team/1346/12260,30105,/game/index/4041720
/team/13/10740,734.0,/game/index/647374
/team/13/10740,350.0,/game/index/603370
/team/13/10740,720.0,/game/index/605654
/team/13/10740,,/game/index/633730
/team/13/10740,30058.0,/game/index/624290
/team/13/10740,422.0,/game/index/622427
/team/13/10740,347.0,/game/index/651870
/team/13/10740,332.0,/game/index/653331
/team/13/10740,237.0,/game/index/660431
/team/13/10740,55.0,/game/index/675170
/team/13/10740,535.0,/game/index/680990
/team/13/10740,347.0,/game/index/690350
/team/13/10740,332.0,/game/index/693592
/team/13/10740,350.0,/game/index/712190
/team/13/10740,422.0,/game/index/712210
/team/13/10740,445.0,/game/index/716191
/team/13/10740,144.0,/game/index/722232
/team/13/10740,680.0,/game/index/725852
/team/13/10740,720.0,/game/index/733555
/team/13/10740,144.0,/game/index/734061
/team/13/10740,445.0,/game/index/737150
/team/13/10740,237.0,/game/index/744320
/team/13/10740,55.0,/game/index/749710
/team/13/10740,535.0,/game/index/753888
/team/13/10740,30058.0,/game/index/757440
/team/13/10740,680.0,/game/index/778296
/team/13/10740,332.0,/game/index/809810
/team/13/10740,350.0,/game/index/812271
/team/1245/10740,12830,/game/index/544859
/team/1245/10740,13028,/game/index/555490
/team/1245/10740,30094,/game/index/547674
/team/1245/10740,743,/game/index/546690
/team/1245/10740,1170,/game/index/552192
/team/1245/10740,210,/game/index/584295
/team/1245/10740,594,/game/index/715310
/team/1245/10740,537,/game/index/612470
/team/1245/10740,1462,/game/index/622429
/team/1245/10740,39,/game/index/639556
/team/1245/10740,1023,/game/index/648430
/team/1245/10740,542,/game/index/655591
/team/1245/10740,30051,/game/index/658313
/team/1245/10740,15646,/game/index/671071
/team/1245/10740,13302,/game/index/686330
/team/1245/10740,592,/game/index/689865
/team/1245/10740,1174,/game/index/698230
/team/1245/10740,11504,/game/index/707784
/team/1245/10740,9223,/game/index/714348
/team/1245/10740,1023,/game/index/723437
/team/1245/10740,2683,/game/index/730290
/team/1245/10740,542,/game/index/734478
/team/1245/10740,15646,/game/index/750610
/team/1245/10740,1072,/game/index/758010
/team/1245/10740,592,/game/index/771010
/team/1245/10740,11504,/game/index/787747
/team/1245/10740,13302,/game/index/799970
/team/1245/10740,30051,/game/index/822190
/team/1245/10740,15646,/game/index/832750
/team/2683/11540,20576,/game/index/2703469
/team/2683/11540,1001,/game/index/2772393
/team/2683/11540,1023,/game/index/2717193
/team/2683/11540,537,/game/index/2763833
/team/2683/11540,9223,/game/index/2755453
/team/2683/11540,791,/game/index/2781388
/team/2683/11540,24639,/game/index/2797184
