season,season_id,school_id,school_name,division
2009,10080,711,Towson,1
2009,10080,716,Troy,1
2009,10080,718,Tulane,1
2009,10080,719,Tulsa,1
2009,10080,9,UAB,1
2009,10080,108,UC Davis,1
2009,10080,109,UC Irvine,1
2009,10080,111,UC Riverside,1
2009,10080,104,UC Santa Barbara,1
2009,10080,128,UCF,1
2009,10080,110,UCLA,1
2009,10080,164,UConn,1
2009,10080,391,UMBC,1
2009,10080,393,UMES,1
2009,10080,2707,UMKC,1
2009,10080,456,UNC Asheville,1
2009,10080,459,UNCG,1
2009,10080,460,UNCW,1
2009,10080,504,UNI,1
2009,10080,465,UNLV,1
2009,10080,10411,USC Upstate,1
2009,10080,702,UT Arlington,1
2009,10080,695,UT Martin,1
2009,10080,704,UTEP,1
2009,10080,536,UTRGV,1
2009,10080,706,UTSA,1
2009,10080,732,Utah,1
2009,10080,731,Utah St.,1
2009,10080,740,VCU,1
2009,10080,741,VMI,1
2009,10080,735,Valparaiso,1
2009,10080,736,Vanderbilt,1
2009,10080,738,Vermont,1
2009,10080,739,Villanova,1
2009,10080,746,Virginia,1
2009,10080,742,Virginia Tech,1
2009,10080,748,Wagner,1
2009,10080,749,Wake Forest,1
2009,10080,756,Washington,1
2009,10080,754,Washington St.,1
2009,10080,758,Weber St.,1
2009,10080,768,West Virginia,1
2009,10080,769,Western Caro.,1
2009,10080,771,Western Ill.,1
2009,10080,772,Western Ky.,1
2009,10080,774,Western Mich.,1
2009,10080,782,Wichita St.,1
2009,10080,786,William & Mary,1
2009,10080,791,Winston-Salem,1
2009,10080,792,Winthrop,1
2009,10080,796,Wisconsin,1
2009,10080,2915,Wofford,1
2009,10080,810,Wright St.,1
2009,10080,811,Wyoming,1
2009,10080,812,Xavier,1
2009,10080,813,Yale,1
2009,10080,817,Youngstown St.,1
2009,10080,2,Abilene Christian,2
2009,10080,929,Adams St.,2
2009,10080,3,Adelphi,2
2009,10080,10,Ala.-Huntsville,2
2009,10080,11,Alas. Anchorage,2
2009,10080,12,Alas. Fairbanks,2
2009,10080,13,Albany St. (GA),2
2009,10080,934,Alderson Broaddus,2
2009,10080,1466,American (PR),2
2009,10080,22,American Int'l,2
2009,10080,13028,Anderson (SC),2
2009,10080,25,Angelo St.,2
2009,10080,8411,Ark.-Monticello,2
2009,10080,947,Arkansas Tech,2
2009,10080,33,Armstrong St.,2
2009,10080,35,Ashland,2
2009,10080,36,Assumption,2
2009,10080,39,Augusta,2
2009,10080,41,Augustana (SD),2
2009,10080,2685,BYU-Hawaii,2
2009,10080,49,Barry,2
2009,10080,15646,Barton,2
2009,10080,52,Bellarmine,2
2009,10080,2683,Belmont Abbey,2
2009,10080,54,Bemidji St.,2
2009,10080,55,Benedict,2
2009,10080,56,Bentley,2
2009,10080,984,Bloomfield,2
2009,10080,65,Bloomsburg,2
2009,10080,985,Bluefield St.,2
2009,10080,70,Bowie St.,2
2009,10080,30094,Brevard,2
2009,10080,74,Bridgeport,2
2009,10080,91,Cal Poly Pomona,2
2009,10080,92,Cal St. Dom. Hills,2
2009,10080,100,Cal St. L.A.,2
2009,10080,30055,Cal St. Monterey Bay,2
2009,10080,93,Cal St. San B'dino,2
2009,10080,995,Caldwell,2
2009,10080,106,California (PA),2
2009,10080,996,Cameron,2
2009,10080,1000,Carson-Newman,2
2009,10080,1001,Catawba,2
2009,10080,130,Central Mo.,2
2009,10080,1009,Central Okla.,2
2009,10080,30049,Central St. (OH),2
2009,10080,1010,Central Wash.,2
2009,10080,1012,Chadron St.,2
2009,10080,133,Chaminade,2
2009,10080,1013,Charleston (WV),2
2009,10080,21323,Chestnut Hill,2
2009,10080,135,Cheyney,2
2009,10080,95,Chico St.,2
2009,10080,8875,Chowan,2
2009,10080,1015,Christian Bros.,2
2009,10080,30058,Claflin,2
